# Site: US-Var
# Version: 13-5
TIMESTAMP_START,TIMESTAMP_END,TA,VPD_PI,PPFD_IN,NDVI,GPP_PI_F
201509212000,201509212030,36.051000,5.326400,1748.100000,0.27553299492385785,1.123416
201509221800,201509221830,26.428000,2.453200,1584.400000,0.22325991189427313,2.048501
201509221900,201509221930,28.315000,3.079900,1749.200000,0.24634334103156272,1.316179
201509222000,201509222030,29.794000,3.482200,1774.200000,0.23546944858420274,0.700430
201509222100,201509222130,30.798000,3.729000,1651.900000,0.30866081648225874,0.727021
201509231600,201509231630,18.732000,1.136300,910.110000,0.3558062035375545,0.433913
201509231700,201509231730,22.402000,1.720200,1289.200000,0.3162307176391683,0.753525
201509231800,201509231830,23.774000,1.965900,1580.100000,0.21862068965517242,1.421895
201509231900,201509231930,25.323000,2.216700,1744.500000,0.26128054217941865,1.137455
201509232000,201509232030,27.392000,2.645300,1767.000000,0.22934741606940778,1.177462
201509232100,201509232130,29.077000,3.069200,1643.200000,0.2630418809698751,1.082718
201509232230,201509232300,30.967000,3.541000,1235.900000,0.499540018399264,0.782476
201509241530,201509241600,23.889000,2.247300,700.190000,0.31464628079116613,0.000000
201509241630,201509241700,28.224000,3.102300,1111.800000,0.21879021879021884,0.129661
201509241800,201509241830,30.113000,3.484000,1513.600000,0.16768707482993198,0.789766
201509241900,201509241930,31.379000,3.752200,1768.000000,0.21860296778863553,1.075440
201509242000,201509242030,32.519000,4.152000,1759.400000,0.24526813880126191,0.865703
201509251600,201509251630,26.761000,2.665900,862.620000,0.30456388126062506,0.858189
201509251700,201509251730,28.888000,3.203300,1238.300000,0.2502977709715842,0.923187
201509251800,201509251830,30.660000,3.619600,1517.500000,0.20670995670995673,0.524008
201509251900,201509251930,31.747000,3.760900,1677.100000,0.22543352601156066,0.804068
201509252000,201509252030,33.048000,4.128500,1706.600000,0.2500976944118797,0.961043
201509261700,201509261730,27.251000,2.632800,1239.100000,0.2172783371224424,0.990160
201509261900,201509261930,31.814000,3.712200,1685.600000,0.22493985565356855,1.106825
201509262030,201509262100,34.044000,4.370600,1660.600000,0.222140221402214,1.081186
201509262130,201509262200,34.509000,4.550600,1473.500000,0.40776503721585194,1.197732
201509262230,201509262300,34.848000,4.633400,1177.800000,0.2952788287547294,0.951242
201510022100,201510022130,28.286000,2.691100,1550.800000,0.33251028806584354,0.000000
201510022230,201510022300,29.994000,3.213700,1129.300000,0.35241439859525897,0.000000
201510032130,201510032200,29.121000,3.047400,1417.600000,0.3034550839091807,0.000000
201510032230,201510032300,28.813000,3.098200,1125.600000,0.3194039520570133,0.000000
201510041600,201510041630,16.155000,0.608920,785.950000,0.24031506188715634,0.000000
201510042130,201510042200,24.501000,2.078400,1407.600000,0.2608191653786708,0.000000
201510051600,201510051630,18.943000,1.069100,811.710000,0.2536516412753259,0.850057
201510121600,201510121630,24.472000,2.056900,758.240000,0.3434210526315789,0.449822
201510121730,201510121800,28.129000,2.751700,1272.000000,0.2878998609179416,0.936793
201510121830,201510121900,29.318000,3.042000,1486.200000,0.23461379595208595,1.051146
201510122030,201510122100,32.529000,3.866400,1502.200000,0.2470449172576832,2.238928
201510122130,201510122200,33.630000,4.218900,1313.400000,0.39009044435705864,0.652246
201510122300,201510122330,34.601000,4.581100,830.190000,0.4761020097956427,0.051891
201510132200,201510132230,35.354000,4.923900,1128.800000,0.44362046016352913,0.990773
201510141600,201510141630,24.074000,2.144400,657.780000,0.19604147031102725,0.960655
201510151600,201510151630,27.938000,2.830400,693.240000,0.2563696559666043,1.464495
201510191730,201510191800,18.456000,0.692860,1218.800000,0.21827998457385275,0.000000
201510201630,201510201700,15.327000,0.413490,895.250000,0.392675483214649,0.000000
201510201800,201510201830,18.934000,0.918070,1342.500000,0.2774591971768858,0.030200
201510202200,201510202230,29.151000,3.156300,1100.100000,0.3108433734939759,0.000000
201510211630,201510211700,19.572000,1.355400,876.730000,0.28253749353559726,1.558995
201510211830,201510211900,23.129000,1.741400,1409.300000,0.22910602910602904,0.481969
201510212030,201510212100,25.295000,2.159200,1418.900000,0.22309823140848073,0.000000
201510212200,201510212230,25.919000,2.295700,1074.700000,0.3904235727440147,0.000000
201510221700,201510221730,23.612000,1.952700,971.670000,0.2907039226222461,1.260177
201510221900,201510221930,25.646000,2.328600,1431.600000,0.2308030803080308,0.000000
201510222030,201510222100,26.723000,2.531100,1393.300000,0.31875719217491366,0.638280
